text,label
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Meeting reminder: Project sync at 2:00 PM.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Your order #9202 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Your order #8509 has been shipped.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Meeting reminder: Project sync at 2:00 PM.,0
Your order #7749 has been shipped.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Meeting reminder: Project sync at 2:00 PM.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Your order #7390 has been shipped.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Your order #1051 has been shipped.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Meeting reminder: Project sync at 2:00 PM.,0
Your order #4694 has been shipped.,0
"Hi, are we still on for lunch?",0
Your order #7848 has been shipped.,0
"Hi, are we still on for lunch?",0
"Hi, are we still on for lunch?",0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Your order #1460 has been shipped.,0
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Your order #5843 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
"Hi, are we still on for lunch?",0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
"Hi, are we still on for lunch?",0
Meeting reminder: Project sync at 2:00 PM.,0
Your order #1153 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
Your order #3049 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
Your order #5196 has been shipped.,0
Your order #5556 has been shipped.,0
"Hi, are we still on for lunch?",0
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Your order #8282 has been shipped.,0
Security Alert: specific login detected from new device.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Security Alert: specific login detected from new device.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
Your order #1497 has been shipped.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
Security Alert: specific login detected from new device.,0
Your order #3254 has been shipped.,0
Security Alert: specific login detected from new device.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
Security Alert: specific login detected from new device.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Your order #2062 has been shipped.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #6031 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
Meeting reminder: Project sync at 2:00 PM.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Meeting reminder: Project sync at 2:00 PM.,0
Your order #1178 has been shipped.,0
Your order #5687 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
"Hi, are we still on for lunch?",0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Your order #7065 has been shipped.,0
Security Alert: specific login detected from new device.,0
Security Alert: specific login detected from new device.,0
Your order #2261 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
"Hi, are we still on for lunch?",0
"Hi, are we still on for lunch?",0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #5575 has been shipped.,0
Your order #4103 has been shipped.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Meeting reminder: Project sync at 2:00 PM.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Meeting reminder: Project sync at 2:00 PM.,0
Your order #3542 has been shipped.,0
Security Alert: specific login detected from new device.,0
Your order #3364 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
"Hi, are we still on for lunch?",0
Your order #6324 has been shipped.,0
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #5613 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Security Alert: specific login detected from new device.,0
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Your order #9332 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
Your order #4279 has been shipped.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Security Alert: specific login detected from new device.,0
Your order #5127 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Your order #7813 has been shipped.,0
Security Alert: specific login detected from new device.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #2341 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Your order #8116 has been shipped.,0
"Hi, are we still on for lunch?",0
Your order #6111 has been shipped.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Meeting reminder: Project sync at 2:00 PM.,0
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
Meeting reminder: Project sync at 2:00 PM.,0
Security Alert: specific login detected from new device.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #2656 has been shipped.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Your order #6595 has been shipped.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
Security Alert: specific login detected from new device.,0
Security Alert: specific login detected from new device.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #7632 has been shipped.,0
"Hi, are we still on for lunch?",0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
Your order #4490 has been shipped.,0
Your order #8049 has been shipped.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Hi, are we still on for lunch?",0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Hi, are we still on for lunch?",0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Security Alert: specific login detected from new device.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
"Hi, are we still on for lunch?",0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Your order #5371 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
Security Alert: specific login detected from new device.,0
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
Your order #9236 has been shipped.,0
"Hi, are we still on for lunch?",0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Your order #8307 has been shipped.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Your order #3793 has been shipped.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Your order #4582 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Security Alert: specific login detected from new device.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
Security Alert: specific login detected from new device.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Meeting reminder: Project sync at 2:00 PM.,0
Urgent: Your account XYZ Bank has been compromised. Click here http://bit.ly/fake to reset.,1
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Your order #5117 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
Security Alert: specific login detected from new device.,0
Meeting reminder: Project sync at 2:00 PM.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
"Hi, are we still on for lunch?",0
Security Alert: specific login detected from new device.,0
Bank Alert: Unauthorized transaction of $500 detected. Review: http://bit.ly/fake,1
Meeting reminder: Project sync at 2:00 PM.,0
Congratulations! You won a iPhone 15. Claim it at http://bit.ly/fake.,1
Meeting reminder: Project sync at 2:00 PM.,0
Meeting reminder: Project sync at 2:00 PM.,0
Security Alert: specific login detected from new device.,0
"Dear user, verify your KYC at http://bit.ly/fake to avoid suspension.",1
Security Alert: specific login detected from new device.,0
Your order #3413 has been shipped.,0
Your order #3580 has been shipped.,0
Your order #9936 has been shipped.,0
Meeting reminder: Project sync at 2:00 PM.,0
